video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: SFace, candidate score: 1.1, time taken: 33.447447776794434, correct detections: 40, incorrect detections: 0, no detections: 7
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: SFace, candidate score: 1.05, time taken: 35.00366497039795, correct detections: 39, incorrect detections: 0, no detections: 7
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: SFace, candidate score: 1.0, time taken: 33.97351002693176, correct detections: 32, incorrect detections: 0, no detections: 7
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: SFace, candidate score: 0.95, time taken: 34.29809284210205, correct detections: 6, incorrect detections: 0, no detections: 7
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: SFace, candidate score: 0.9, time taken: 32.13445210456848, correct detections: 2, incorrect detections: 0, no detections: 7
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: Facenet512, candidate score: 1.1, time taken: 45.09047055244446, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: Facenet512, candidate score: 1.05, time taken: 38.01219415664673, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: Facenet512, candidate score: 1.0, time taken: 40.57433223724365, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: Facenet512, candidate score: 0.95, time taken: 38.014769315719604, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: Facenet512, candidate score: 0.9, time taken: 38.886948585510254, correct detections: 46, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: OpenFace, candidate score: 1.1, time taken: 39.23887586593628, correct detections: 18, incorrect detections: 2, no detections: 27
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: OpenFace, candidate score: 1.05, time taken: 38.41486144065857, correct detections: 18, incorrect detections: 2, no detections: 27
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: OpenFace, candidate score: 1.0, time taken: 40.36581015586853, correct detections: 18, incorrect detections: 2, no detections: 27
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: OpenFace, candidate score: 0.95, time taken: 38.011306047439575, correct detections: 18, incorrect detections: 2, no detections: 27
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: OpenFace, candidate score: 0.9, time taken: 41.92857050895691, correct detections: 18, incorrect detections: 2, no detections: 27
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: DeepFace, candidate score: 1.1, time limit exceeded, correct detections: 28, incorrect detections: 3, no detections: 16
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: DeepFace, candidate score: 1.05, time taken: 48.49616241455078, correct detections: 28, incorrect detections: 3, no detections: 16
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: DeepFace, candidate score: 1.0, time taken: 51.14490580558777, correct detections: 28, incorrect detections: 3, no detections: 16
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: DeepFace, candidate score: 0.95, time taken: 45.08107900619507, correct detections: 28, incorrect detections: 3, no detections: 16
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: DeepFace, candidate score: 0.9, time taken: 43.32499647140503, correct detections: 28, incorrect detections: 3, no detections: 16
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: VGG-Face, candidate score: 1.1, time taken: 56.54914617538452, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: VGG-Face, candidate score: 1.05, time taken: 48.838220834732056, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: VGG-Face, candidate score: 1.0, time taken: 49.03450632095337, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: VGG-Face, candidate score: 0.95, time taken: 53.17177200317383, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: VGG-Face, candidate score: 0.9, time taken: 49.76126146316528, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: Facenet, candidate score: 1.1, time taken: 46.421807050704956, correct detections: 42, incorrect detections: 0, no detections: 5
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: Facenet, candidate score: 1.05, time taken: 36.893558979034424, correct detections: 42, incorrect detections: 0, no detections: 5
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: Facenet, candidate score: 1.0, time taken: 40.51290535926819, correct detections: 42, incorrect detections: 0, no detections: 5
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: Facenet, candidate score: 0.95, time taken: 40.08767485618591, correct detections: 42, incorrect detections: 0, no detections: 5
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: Facenet, candidate score: 0.9, time taken: 38.37743425369263, correct detections: 42, incorrect detections: 0, no detections: 5
video: james_low_camera_angle.mp4, backend detector: ssd, model_name: ArcFace, candidate score: 1.1, time limit exceeded, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle.mp4, backend detector: ssd, model_name: ArcFace, candidate score: 1.05, time limit exceeded, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle.mp4, backend detector: ssd, model_name: ArcFace, candidate score: 1.0, time limit exceeded, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle.mp4, backend detector: ssd, model_name: ArcFace, candidate score: 0.95, time limit exceeded, correct detections: 0, incorrect detections: 0, no detections: 0
